id,name,lat,lon
ADANA,ADANA,37,35.3213333
ADIYAMAN,ADIYAMAN,37.7641667,38.2761667
AFYONKARAH?SAR,AFYONKARAH?SAR,38.76376,30.54034
A?RI,A?RI,39.7216667,43.0566667
AMASYA,AMASYA,40.65,35.8333333
ANKARA,ANKARA,39.92077,32.85411
ANTALYA,ANTALYA,36.88414,30.70563
ARTV?N,ARTV?N,41.1833333,41.8166667
AYDIN,AYDIN,37.8444,27.8458
BALIKES?R,BALIKES?R,39.648369,27.88261
B?LEC?K,B?LEC?K,40.150131,29.983061
B?NGÖL,B?NGÖL,38.885349,40.498291
B?TL?S,B?TL?S,38.4,42.1166667
BOLU,BOLU,40.739479,31.611561
BURDUR,BURDUR,37.726909,30.288876
BURSA,BURSA,40.18257,29.06687
ÇANAKKALE,ÇANAKKALE,40.155312,26.41416
ÇANKIRI,ÇANKIRI,40.6,33.6166667
ÇORUM,ÇORUM,40.5505556,34.9555556
DEN?ZL?,DEN?ZL?,37.77652,29.08639
D?YARBAKIR,D?YARBAKIR,37.91441,40.230629
ED?RNE,ED?RNE,41.6666667,26.5666667
ELAZI?,ELAZI?,38.680969,39.226398
ERZ?NCAN,ERZ?NCAN,39.75,39.5
ERZURUM,ERZURUM,39.9043189,41.2678853
ESK??EH?R,ESK??EH?R,39.784302,30.51922
GAZ?ANTEP,GAZ?ANTEP,37.06622,37.38332
G?RESUN,G?RESUN,40.912811,38.38953
GÜMÜ?HANE,GÜMÜ?HANE,40.4602778,39.4813889
HAKKAR?,HAKKAR?,37.5833333,43.7333333
HATAY,HATAY,36.4018488,36.3498097
ISPARTA,ISPARTA,37.7666667,30.55
MERS?N(?ÇEL),MERS?N(?ÇEL),36.8,34.6333333
?STANBUL,?STANBUL,41.00527,28.97696
?ZM?R,?ZM?R,38.41885,27.12872
KARS,KARS,40.59267,43.077831
KASTAMONU,KASTAMONU,41.38871,33.78273
KAYSER?,KAYSER?,38.7333333,35.4833333
KIRKLAREL?,KIRKLAREL?,41.7333333,27.2166667
KIR?EH?R,KIR?EH?R,39.15,34.1666667
KOCAEL?,KOCAEL?,40.8532704,29.8815203
KONYA,KONYA,37.8666667,32.4833333
KÜTAHYA,KÜTAHYA,39.4166667,29.9833333
MALATYA,MALATYA,38.35519,38.30946
MAN?SA,MAN?SA,38.619099,27.428921
KAHRAMANMARA?,KAHRAMANMARA?,37.5833333,36.9333333
MARD?N,MARD?N,37.3122361,40.735112
MU?LA,MU?LA,37.2152778,28.3636111
MU?,MU?,38.7432926,41.5064823
NEV?EH?R,NEV?EH?R,38.62442,34.723969
N??DE,N??DE,37.9666667,34.6833333
ORDU,ORDU,40.9833333,37.8833333
R?ZE,R?ZE,41.02005,40.523449
SAKARYA,SAKARYA,40.7568793,30.378138
SAMSUN,SAMSUN,41.292782,36.33128
S??RT,S??RT,37.94429,41.93288
S?NOP,S?NOP,42.0264222,35.1550745
S?VAS,S?VAS,39.747662,37.017879
TEK?RDA?,TEK?RDA?,40.9833333,27.5166667
TOKAT,TOKAT,40.3166667,36.55
TRABZON,TRABZON,41,39.7333333
TUNCEL?,TUNCEL?,39.1079868,39.5401672
?ANLIURFA,?ANLIURFA,37.15,38.8
U?AK,U?AK,38.682301,29.40819
VAN,VAN,38.4941667,43.38
YOZGAT,YOZGAT,39.82,34.8044444
ZONGULDAK,ZONGULDAK,41.456409,31.798731
AKSARAY,AKSARAY,38.36869,34.03698
BAYBURT,BAYBURT,40.255169,40.22488
KARAMAN,KARAMAN,37.17593,33.228748
KIRIKKALE,KIRIKKALE,39.846821,33.515251
BATMAN,BATMAN,37.881168,41.13509
?IRNAK,?IRNAK,37.5163889,42.4611111
BARTIN,BARTIN,41.6344444,32.3375
ARDAHAN,ARDAHAN,41.110481,42.702171
I?DIR,I?DIR,39.9166667,44.0333333
YALOVA,YALOVA,40.65,29.2666667
KARABÜK,KARABÜK,41.2,32.6333333
K?L?S,K?L?S,36.718399,37.12122
OSMAN?YE,OSMAN?YE,37.06805,36.261589
DÜZCE,DÜZCE,40.843849,31.15654
